freq,premier_pay,dealer,an,marque,modele,depot,prix_auto,pour_depot,km,creation_dossier,sexe,code_postal,ristourne,cheque_dealer,sommes_des_couts,terme,age,class
Par jour(s),92.26,191_dealer,2011.0,volkswagen,jetta,1000.0,5995.0,0.16680567139282734,105000,,1.0,j7l,0.0,5294.75,5872.25,156,,1
Par jour(s),97.91,125_dealer,2006.0,jeep,grandcherokee,500.0,5695.0,0.08779631255487269,0,,1.0,j6s,0.0,5939.65,5942.0,130,,1
Par jour(s),90.69,142_dealer,2007.0,nissan,altima,1000.0,5995.0,0.16680567139282734,155000,,1.0,j6y,0.0,5294.75,5872.25,156,,1
Par jour(s),91.9,133_dealer,2007.0,mazda,5,1000.0,5000.0,0.2,0,,0.0,j2a,0.0,0.0,4747.0,104,,1
Par jour(s),111.19,70_dealer,2013.0,honda,civic,1600.0,7999.0,0.20002500312539068,108000,2017-06-28,0.0,h3t,400.0,7258.85,7421.056666666667,156,35.0,1
Par jour(s),82.79,109_dealer,2006.0,chrysler,seabring,600.0,1295.0,0.46332046332046334,0,,1.0,j4j,0.0,759.75,824.6666666666666,18,,1
Par jour(s),85.84,109_dealer,2007.0,kia,rondo,1300.0,4995.0,0.2602602602602603,0,2015-07-13,1.0,,0.0,3944.75,4425.333333333334,104,,1
Par jour(s),87.47,160_dealer,2005.0,acura,a6,500.0,4100.0,0.12195121951219512,0,,0.0,j2g,0.0,4264.9,4347.0,104,,1
Par jour(s),106.46,20_dealer,2004.0,dodge,ram1500,800.0,5930.0,0.13490725126475547,0,2015-02-23,1.0,j0l,0.0,5426.5,5706.333333333333,78,44.0,1
Par jour(s),99.97,200_dealer,2009.0,nissan,murano,1700.0,6800.0,0.25,203000,2017-08-04,1.0,g5r,0.0,5440.0,6068.42,130,50.0,1
Par jour(s),165.76,248_dealer,2007.0,ford,f150,6000.0,14974.0,0.40069453719780956,0,2015-06-29,1.0,j3l,0.0,9722.7,9550.333333333334,104,54.0,1
Par jour(s),138.78,109_dealer,2008.0,honda,civic,500.0,3199.0,0.15629884338855893,0,,0.0,jog,0.0,3318.85,3046.0,52,,1
Par jour(s),197.75,85_dealer,2010.0,mitsubishi,lancer,1400.0,7000.0,0.2,104000,2017-05-17,0.0,j5a,0.0,5950.0,6529.3,78,24.0,1
Par jour(s),97.4,36_dealer,2007.0,acura,tl,1500.0,7395.0,0.2028397565922921,0,2016-02-23,1.0,j4l,0.0,6264.75,6642.0,156,45.0,1
Par jour(s),77.5,99_dealer,2008.0,mitsubishi,lancer,0.0,3700.0,0.0,0,,1.0,j0l,0.0,0.0,4276.333333333334,104,,1
Par jour(s),123.47,245_dealer,2006.0,honda,civic,500.0,2125.0,0.23529411764705882,0,,1.0,j0n,0.0,2125.0,2347.0,39,,1
Par jour(s),208.24,220_dealer,2008.0,toyota,prius,1000.0,6988.0,0.14310246136233543,192389,,1.0,h1r,400.0,0.0,6898.583333333333,78,,1
Par jour(s),85.79,17_dealer,2008.0,ford,edge,2000.0,6690.0,0.29895366218236175,163000,2017-06-15,0.0,g8e,400.0,5484.4,5697.49,156,38.0,1
Par jour(s),96.11,0_dealer,2006.0,cadillac,srx,1250.0,4995.0,0.2502502502502503,187000,2017-05-10,1.0,j8n,0.0,3994.75,4654.8099999999995,104,32.0,1
Par jour(s),139.97,82_dealer,2003.0,dodge,durango,625.0,2995.0,0.20868113522537562,0,2016-01-07,1.0,j7e,0.0,2519.75,2717.0,52,42.0,1
Par jour(s),66.48,75_dealer,1999.0,chevrolet,silverado,1200.0,5000.0,0.24,0,2015-06-26,1.0,j1x,0.0,4050.0,4376.333333333334,104,33.0,1
Par jour(s),157.13,18_dealer,2006.0,pontiac,g6,0.0,3495.0,0.0,0,2016-05-24,1.0,h1e,0.0,2675.0,2847.0,52,27.0,1
Par jour(s),83.65,31_dealer,2005.0,dodge,durango,650.0,2500.0,0.26,241000,,1.0,j0w,0.0,1975.0,2127.66,39,,1
Par jour(s),133.89,81_dealer,2008.0,dodge,caliber,500.0,2795.0,0.17889087656529518,0,,1.0,j4r,0.0,2834.75,2642.0,52,,1
Par jour(s),69.15,190_dealer,2004.0,nissan,quest,300.0,1800.0,0.16666666666666666,0,,0.0,g0m,0.0,1590.0,1679.6666666666667,39,,1
Par jour(s),169.74,220_dealer,,,nan,0.0,0.0,,0,2017-06-06,1.0,j7l,0.0,0.0,5614.37,78,72.0,1
Par jour(s),75.75,169_dealer,2008.0,chevrolet,malibu,1800.0,4500.0,0.4,0,,0.0,j6z,,,3281.44,104,22.0,1
Par jour(s),178.42,185_dealer,2010.0,dodge,caravan,500.0,5488.0,0.09110787172011661,0,,1.0,h3t,0.0,5722.3,5735.0,78,,1
Par jour(s),72.73,16_dealer,2007.0,suzuki,swift,1000.0,3500.0,0.2857142857142857,0,,0.0,j7n,0.0,2675.0,2847.0,104,,1
Par jour(s),198.04,124_dealer,2009.0,mercedes,300c,2500.0,8000.0,0.3125,216452,2017-07-14,1.0,j6k,0.0,5900.0,6572.61,78,40.0,1
Par jour(s),168.84,36_dealer,2007.0,mazda,3,1000.0,3995.0,0.2503128911138924,0,2016-02-15,0.0,j0v,0.0,3194.75,3342.0,52,43.0,1
Par jour(s),227.85,248_dealer,2007.0,honda,odyssey,4000.0,8995.0,0.44469149527515284,0,2016-01-15,0.0,j0n,0.0,5444.75,5742.0,52,40.0,1
Par jour(s),177.03,184_dealer,2007.0,chevrolet,cobalt,500.0,3995.0,0.1251564455569462,0,,0.0,j0s,0.0,3924.7,4242.0,52,,1
Par jour(s),99.94,248_dealer,2008.0,suzuki,swift,500.0,5350.0,0.09345794392523364,0,2015-08-20,0.0,j6a,0.0,5117.5,5580.333333333333,104,57.0,1
Par jour(s),76.14,0_dealer,2003.0,honda,civic,300.0,1800.0,0.16666666666666666,0,,1.0,j7z,0.0,1590.0,1679.6666666666667,35,,1
Par jour(s),75.22,109_dealer,2004.0,honda,accord,800.0,3995.0,0.2002503128911139,0,2015-08-24,1.0,j3b,0.0,3394.75,3925.3333333333335,52,40.0,1
Par jour(s),214.16,99_dealer,2007.0,mazda,speed3,350.0,6000.0,0.058333333333333334,0,2015-08-24,0.0,j4t,0.0,7099.75,6226.333333333333,52,27.0,1
